run_id,workflow,scenario_id,branch,env,service,status,failure_stage,commit_sha,image,tests_total,tests_failed,commit_ts,,test_ts,push_ts,deploy_ts,ended_ts,ttd_sec
19162652016,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,166660ba7e15b03dd6098c401048f173bc42cdd1,,1,0,2025-11-07T08:30:03Z,,2025-11-07 08:30:41.205094 UTC,2025-11-07 08:30:52.715119 UTC,2025-11-07 08:31:04.519215 UTC,2025-11-07T08:31:06Z,63
19147143456,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,dec1ba9d800215ac1cd8e821f1e1ab3647eb2257,,1,0,2025-11-07T08:25:15Z,,2025-11-07 08:25:59.234181 UTC,2025-11-07 08:26:10.626058 UTC,2025-11-07 08:26:31.414037 UTC,2025-11-07T08:26:33Z,78
19136639296,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,c8f8594b464c388f1d8d9f0f836b567c51daf9fb,,1,0,2025-11-06T13:06:49Z,,,,,2025-11-06T13:08:02.347394Z,73.347394
19134632003,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,7468ecf299291992d11ddb81f47002f183913d69,,1,0,2025-11-06T11:48:00Z,,,,,2025-11-06T11:50:29Z,149
19066529469,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,8fe6805a298e5dedce8e6738dc6a11ad89dfc920,,1,0,2025-11-04T11:04:58Z,,,,,2025-11-04T11:05:33Z,35
19066180676,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,1beca2669377ca7ef5d4b9de63a003c857b83097,,1,0,2025-11-04T10:50:46Z,,,,,2025-11-04T10:51:11Z,25
19060335905,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,813e9784b9c53b7ad724b1697d8daeec0264c6e1,,1,0,2025-11-04T06:52:33Z,,,,,2025-11-04T06:53:38Z,65
19060070118,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,09aacefc952641fbfa815d3080d3f1cd0ac85061,,1,1,2025-11-04T06:37:07Z,,,,,,
19039334216,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,2c04806415035a5007b99a16ce7b92989a511726,,1,1,2025-11-03T15:11:44Z,,,,,,
19037859225,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,274d597d7a99597f5a7406695936d1175219e25f,,1,0,2025-11-03T14:24:39Z,,,,,2025-11-03T14:25:21Z,42
19036035012,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,ab8c4aae2d615fc1333a619ee440d96a3f2e036d,,1,0,2025-11-03T14:07:04Z,,,,,2025-11-03T14:07:34Z,30
19032088803,s1_ci,S1,baseline-dev,cloud-run,baseline-app,success,,20566038625b4ce33f17b028d3c1482297b5a834,,1,0,2025-11-03T12:16:05Z,,,,,2025-11-03T12:16:41Z,36
19031588983,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,3567029a2180036017f7b7f217b61d0e747ba92e,,1,1,2025-11-03T10:35:20Z,,,,,,
19031036282,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,1fc8ce64cf8b18439208e07e0220145385e9a466,,1,1,2025-11-03T10:13:54Z,,,,,,
19030491736,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,aa7ffb01a2074bb9337704f05dabb1ae1fdaf48d,,1,1,2025-11-03T09:52:34Z,,,,,,
19030091575,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,9384d3e9e93599a5d4211e9c7dc855f7a3cfb1df,,1,1,2025-11-03T09:37:10Z,,,,,,
19029474240,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,f6bc3e35330baedbddff55883d3132868840bb67,,1,1,2025-11-03T09:14:27Z,,,,,,
19029474233,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,f6bc3e35330baedbddff55883d3132868840bb67,,1,1,2025-11-03T09:14:27Z,,,,,,
